
## g4-c1 | Chương 1: Số tự nhiên & Bảng đơn vị đo khối lượng
g4-c1-l1 | Bài 1: Ôn tập các số đến 100 000 | HINH: Số 68 352 gồm: 6 chục nghìn, 8 nghìn, 3 trăm, 5 chục và 2 đơn vị. Viết thành tổng: 68 352 = 60 000 + 8 000 + 300 + 50 + 2 | RULE: 
g4-c1-l2 | Bài 2: Biểu thức có chứa một chữ | HINH: Nếu a = 6 thì giá trị của biểu thức 15 + a là: 15 + 6 = 21. Mỗi lần thay chữ a bằng số, ta tính được một giá trị của biểu thức 15 + a. | RULE: 
g4-c1-l3 | Bài 3: Các số có sáu chữ số & Hàng trăm nghìn | HINH: Số 432 516: - Chữ số 4 ở hàng trăm nghìn, có giá trị 400 000. - Chữ số 3 ở hàng chục nghìn, 2 ở hàng nghìn. - Chữ số 5 ở hàng trăm, 1 ở hàng chục, 6 ở hàng đơn vị. | RULE: 
g4-c1-l4 | Bài 4: Hàng và Lớp | HINH: Bảng phân chia Hàng và Lớp: - LỚP NGHÌN: Hàng trăm nghìn, Hàng chục nghìn, Hàng nghìn - LỚP ĐƠN VỊ: Hàng trăm, Hàng chục, Hàng đơn vị | RULE: 
g4-c1-l5 | Bài 5: So sánh các số có nhiều chữ số | HINH: Ví dụ 1: 100 000 > 99 999 (vì 6 chữ số > 5 chữ số) Ví dụ 2: 753 210 > 751 980 (hàng trăm nghìn và chục nghìn bằng nhau, hàng nghìn có 3 > 1). | RULE: 
g4-c1-l6 | Bài 6: Triệu và Lớp triệu | HINH: Cấu tạo Lớp triệu: - Hàng triệu: 1 000 000 - Hàng chục triệu: 10 000 000 - Hàng trăm triệu: 100 000 000 Số 345 000 000 đọc là: Ba trăm bốn mươi lăm triệu. | RULE: 
g4-c1-l7 | Bài 7: Dãy số tự nhiên và Hệ thập phân | HINH: - Số tự nhiên bé nhất là số 0. - Không có số tự nhiên lớn nhất. - Hai số tự nhiên liên tiếp hơn kém nhau 1 đơn vị. - Dùng 10 chữ số (0 đến 9) để viết mọi số tự nhiên trong hệ thập phân. | RULE: 
g4-c1-l8 | Bài 8: Viết số tự nhiên trong hệ thập phân | HINH: Phân tích giá trị theo hàng: Số 7 245 = 7 000 + 200 + 40 + 5 - Chữ số 7 có giá trị: 7 000 - Chữ số 2 có giá trị: 200 - Chữ số 4 có giá trị: 40 - Chữ số 5 có giá trị: 5 | RULE: 
g4-c1-l9 | Bài 9: Bảng đơn vị đo khối lượng: Yến, tạ, tấn | HINH: Mối quan hệ đo khối lượng: 1 yến = 10 kg 1 tạ = 10 yến = 100 kg 1 tấn = 10 tạ = 1 000 kg Bảng đơn vị: Tấn > Tạ > Yến > kg > hg > dag > g (mỗi đơn vị gấp 10 lần đơn vị liền sau). | RULE: 
g4-c1-l10 | Bài 10: Giây và Thế kỉ | HINH: Quy đổi thời gian: - 1 giờ = 60 phút - 1 phút = 60 giây - 1 thế kỉ = 100 năm Từ năm 1 đến năm 100 là thế kỉ I (thứ nhất). Từ năm 101 đến năm 200 là thế kỉ II (thứ hai). Năm 2024 thuộc thế kỉ XXI (thứ hai mươi mốt). | RULE: 
g4-c1-l11 | Bài 11: Tìm số trung bình cộng | HINH: Quy tắc: Số trung bình cộng = (Tổng các số hạng) : (Số các số hạng) Ví dụ: Tìm số TBC của 12, 14 và 16: Tổng = 12 + 14 + 16 = 42 Số số hạng = 3 Trung bình cộng = 42 : 3 = 14 | RULE: 
g4-c1-l12 | Bài 12: Biểu đồ (Biểu đồ cột) | HINH: Đặc điểm biểu đồ cột: - Cột nằm ngang ghi tên các đối tượng (ví dụ: Lớp 4A, 4B, 4C). - Cột thẳng đứng ghi số lượng (ví dụ: số cây trồng được). - Cột càng cao thì số lượng càng nhiều. | RULE: 

## g4-c2 | Chương 2: Bốn phép tính số tự nhiên & Hình học
g4-c2-l1 | Bài 1: Phép cộng và Phép trừ số tự nhiên | HINH: Ví dụ cộng: 483 526 + 254 138 = 737 664 Ví dụ trừ: 865 240 - 328 175 = 537 065 Chú ý: Nhớ cộng thêm số nhớ vào hàng tiếp theo bên trái! | RULE: 
g4-c2-l2 | Bài 2: Biểu thức có chứa hai chữ, ba chữ | HINH: Nếu a = 10, b = 5, c = 2 thì giá trị biểu thức a + b × c là: 10 + 5 × 2 = 10 + 10 = 20 (nhớ thực hiện nhân chia trước, cộng trừ sau!). | RULE: 
g4-c2-l3 | Bài 3: Tính chất giao hoán và kết hợp của phép cộng | HINH: Tính thuận tiện: 127 + 389 + 73 = (127 + 73) + 389 = 200 + 389 = 589 | RULE: 
g4-c2-l4 | Bài 4: Tìm hai số khi biết Tổng và Hiệu của hai số đó | HINH: Công thức: - Số lớn = (Tổng + Hiệu) : 2 - Số bé = (Tổng - Hiệu) : 2 (Hoặc: Số bé = Số lớn - Hiệu; Số lớn = Tổng - Số bé) | RULE: 
g4-c2-l5 | Bài 5: Góc nhọn, góc tù, góc bẹt | HINH: - Góc nhọn: Đỉnh O, hai cạnh OA và OB, bé hơn góc vuông. - Góc tù: Lớn hơn góc vuông. - Góc bẹt: Bằng hai góc vuông (hai cạnh thẳng hàng). | RULE: 
g4-c2-l6 | Bài 6: Hai đường thẳng vuông góc & Song song | HINH: - Vuông góc: Cắt nhau tạo góc 90° (ký hiệu ⊥). - Song song: Cách đều nhau và không bao giờ cắt nhau dù kéo dài mãi. | RULE: 
g4-c2-l7 | Bài 7: Nhân với số có một chữ số & Tính chất phép nhân | HINH: Đặt tính: 142 315 × 3 = 426 945 Tính nhanh: (a × b) × c = a × (b × c) | RULE: 
g4-c2-l8 | Bài 8: Nhân với 10, 100, 1000... & Chia cho 10, 100, 1000... | HINH: - 35 × 10 = 350 - 35 × 100 = 3 500 - 4 800 : 100 = 48 - 70 000 : 1 000 = 70 | RULE: 
g4-c2-l9 | Bài 9: Đề-xi-mét vuông (dm²) & Mét vuông (m²) | HINH: Mối quan hệ diện tích: 1 m² = 100 dm² 1 dm² = 100 cm² 1 m² = 10 000 cm² Mỗi đơn vị diện tích gấp 100 lần đơn vị bé hơn liền kề! | RULE: 
g4-c2-l10 | Bài 10: Nhân một số với một tổng, một hiệu | HINH: Công thức: - a × (b + c) = a × b + a × c - a × (b - c) = a × b - a × c Ví dụ tính nhanh: 35 × 11 = 35 × (10 + 1) = 350 + 35 = 385 | RULE: 
g4-c2-l11 | Bài 11: Nhân với số có hai, ba chữ số. Nhân nhẩm với 11 | HINH: Mẹo nhân nhẩm với 11: Ví dụ: 35 × 11, nên Cộng hai chữ số: 3 + 5 = 8. Chèn 8 vào giữa 3 và 5 được 385! Ví dụ có nhớ: 48 × 11, nên là 4 + 8 = 12. Chèn 2 vào giữa, nhớ 1 sang 4 thành 5, nên là 528! | RULE: 
g4-c2-l12 | Bài 12: Chia cho số có một chữ số | HINH: Thực hiện phép tính: 128 472 : 6 = 21 412 (dư 0) 157 : 5 = 31 (dư 2, vì 2 < 5 nên phép chia đúng). | RULE: 
g4-c2-l13 | Bài 13: Chia cho số có hai, ba chữ số. Thương có chữ số 0 | HINH: Ví dụ: 84 : 21, nên Làm tròn 80 : 20 = 4. Thử: 21 × 4 = 84 (vừa đúng thương là 4). Nếu ở một lượt chia mà số bị chia bé hơn số chia thì ta phải viết chữ số 0 vào thương! | RULE: 

## g4-c3 | Chương 3: Dấu hiệu chia hết & Hình bình hành
g4-c3-l1 | Bài 1: Dấu hiệu chia hết cho 2 và cho 5 | HINH: - Chia hết cho 2: Chữ số tận cùng là 0, 2, 4, 6, 8 (số chẵn). - Chia hết cho 5: Chữ số tận cùng là 0 hoặc 5. - Số có chữ số tận cùng là 0 thì chia hết cho CẢ 2 VÀ 5! | RULE: 
g4-c3-l2 | Bài 2: Dấu hiệu chia hết cho 9 và cho 3 | HINH: - Số có tổng các chữ số chia hết cho 9 thì chia hết cho 9. - Số có tổng các chữ số chia hết cho 3 thì chia hết cho 3. - Chú ý: Số chia hết cho 9 thì chắc chắn chia hết cho 3! | RULE: 
g4-c3-l3 | Bài 3: Ki-lô-mét vuông (km²) | HINH: Quy đổi: - Ki-lô-mét vuông là diện tích của hình vuông có cạnh dài 1 km. - 1 km² = 1 000 000 m² (gồm chữ số 1 và 6 chữ số 0). | RULE: 
g4-c3-l4 | Bài 4: Hình bình hành & Diện tích hình bình hành | HINH: Công thức: Diện tích S = a × h Trong đó: a là độ dài đáy, h là chiều cao (cùng đơn vị đo). | RULE: 
g4-c3-l5 | Bài 5: Luyện tập dấu hiệu chia hết cho 2 và cho 5 | HINH:  | RULE: Chỉ cần nhìn chữ số tận cùng, không cần đặt tính chia.
g4-c3-l6 | Bài 6: Luyện tập dấu hiệu chia hết cho 9 và cho 3 | HINH:  | RULE: Tính nhẩm tổng các chữ số rồi xét chia hết cho 9 hoặc cho 3.
g4-c3-l7 | Bài 7: Tìm chữ số thay thế để chia hết | HINH:  | RULE: Nếu số phải chia hết cho nhiều số, chữ số tìm được phải thỏa mãn TẤT CẢ các dấu hiệu đó.
g4-c3-l8 | Bài 8: Ki-lô-mét vuông: đổi đơn vị và bài toán | HINH:  | RULE: Đổi về cùng một đơn vị đo rồi mới so sánh.
g4-c3-l9 | Bài 9: Luyện tập hình bình hành | HINH:  | RULE: Độ dài đáy và chiều cao phải cùng đơn vị đo trước khi nhân.
g4-c3-l10 | Bài 10: Luyện tập chung chương 3 | HINH:  | RULE: Đọc kỹ đề để biết bài thuộc mảng nào.

## g4-c4 | Chương 4: Phân số, Bốn phép tính phân số & Hình thoi
